yd;tdta;reta;opita;ebita;lsls;lta;gempl;invsls;nwcta;cacl;qacl;fata;ltdta;mveltd
0;0,1455394;0,3832438;0,2492498;0,2405799;2,8325629;3,1960055;0,1053423;0,075232;0,7936063;6,4528483;6,0934469;0;27,604182;0,0272014
0;0,157739;0,6535754;0,2619184;0,2153813;5,3509786;5,1495347;-0,0029739;0,0163295;0,3841594;3,5299161;3,3983778;-99,99;8,9620689;0,23779
0;0,1823597;0,2181017;-0,053062;-0,3566792;4,0318152;3,9702057;-0,2573278;0,0429145;0,4373568;3,4330039;3,1791012;0,0025997;3,6440607;0,3660794
0;0,1969582;0,0111385;0,2217966;0,2006712;4,0255144;3,8276491;0,2055173;0,1583912;0,5955406;4,3191323;3,2432222;0,0010324;27,631832;0,1629869
0;0,2025695;0,4838329;0,280728;0,2330835;2,4431324;2,2383142;-0,0321924;0,2379831;0,585332;6,1333354;3,5718323;0,0517131;8,3267723;0,2933619
0;0,2077052;0,7016025;0,2939058;0,2496788;5,5911927;5,3229806;0,0283467;0,060723;0,1829322;2,2864227;1,7280431;0,0026497;14,511942;0,543027
0;0,2207773;0,7103061;0,284551;0,2490068;5,6886329;5,5243741;0,0414735;0,3116122;0,5010991;3,6327116;1,7032738;0,0132638;8,5585408;0,3023127
0;0,2218707;0,0258606;0,1633;0,1017953;3,8931464;4,3494492;0,3193186;0,1975626;0,5745386;5,8500131;4,7932964;0,1034095;8,3140041;0,2860586
0;0,2309309;0,2870261;0,1489176;0,0889517;5,2287898;5,1484459;0,1201105;0,1298999;0,4152768;3,7983409;2,849781;0,0184325;4,5742575;0,4200983
0;0,2414106;0,3900781;0,0785937;0,0536659;5,0585974;4,6326226;-0,1476019;0,1379037;0,3448785;2,4585373;1,5655899;0;4,7086357;0,2314887
0;0,2518933;0,8352498;0,059856;0,0284794;4,3277404;3,8712559;0,0456396;0,2494947;0,4434724;3,7681999;1,3098666;0,091691;2,7901596;0,3424656
0;0,2523573;0,2797522;0,1678157;0,1435461;4,3934743;3,9870213;0,074248;0,2340115;0,5482355;4,3891577;2,2170459;0,0221444;4,5828417;0,22982
0;0,2546646;0,3615902;0,2278698;0,176469;6,8151214;6,7469343;0,0977284;0,0891506;0,512323;3,5840322;3,1026483;0,0093183;10,365155;0,261363
0;0,2709406;0,6962969;0,2414838;0,2115016;7,2076751;6,9300568;0,0160076;0,0299708;0,0859258;1,4884715;1,2635752;0,0506026;3,7640723;0,3398036
0;0,285424;0,6729305;0,1497204;0,1274756;3,3028204;2,3823738;0,0112499;0,162897;0,6049772;3,1324747;1,6910139;0;1,5867439;0,1093956
0;0,2936115;0,2323677;0,2580113;0,2070324;4,7331122;4,5826744;0,4281081;0,1698311;0,5345086;3,2219258;2,4013355;0,0530505;12,474924;0,214703
0;0,3004339;0,6482036;-0,0399542;-0,0477861;5,7642037;6,5360327;0;0,2374581;0,0823983;1,6932019;0,769935;0,1129026;1,6379258;0,0764011
0;0,3035335;0,5267048;0,1246306;0,1046201;7,2624956;6,7476017;0,0298836;0,2706287;0,6715704;4,7088726;2,2077225;0,122462;4,158828;0,1066554
0;0,3069159;0,1134419;0,382154;0,2844865;5,0894529;4,5036558;0,0586364;0,0881903;0,1717754;1,97538;1,075795;0,0504804;-99,99;0,5799053
0;0,3136411;0,4334848;0,0965607;0,0720703;3,3411588;2,9569797;0,0049022;0,2533637;0,4115545;2,4455381;1,1387854;0;2,4762929;0,2778476
0;0,3175898;0,6287595;0,1356679;0,1115597;5,6970962;5,4403498;0,0154621;0,2204472;0,2777129;2,8894575;0,9505855;0,1424958;3,1960833;0,54711
0;0,3409215;0,5836105;0,2287683;0,1683432;5,1410085;4,7432369;0,1348546;0,120886;0,2800689;2,8296386;1,654128;0,1157068;1,9612837;0,484897
0;0,3489755;0,579031;0,2122616;0,1821509;6,6403486;6,0783873;0,037872;0,2044945;0,3303984;2,3732837;0,8823421;0,0773119;2,5012616;0,3549516
0;0,3582842;0,2922055;-0,0175223;-0,0791759;6,8634841;5,909703;-0,0019675;0,082576;0,1840369;1,775137;0,8724251;0,0085474;0,643337;0,5142171
0;0,3611742;0,5916182;0,2246639;0,1819767;3,8775269;3,48894;-0,0538973;0,0682361;0,2285915;1,8405777;1,4705001;0,0892281;1,3321196;0,2763553
0;0,3626217;0,5735228;0,2770596;0,2347168;8,2219877;7,7585573;0,0675547;0,2545603;0,4403686;2,633888;1,132607;0,0931002;3,204629;0,2569881
